Cod_ibge 6 digitos;Cod_ibge;Município;Cod_RA;Região Administrativa;Região de Governo;Região Metropolitana;Subdivisao_RMSP;Macrometropole;Unidades Hidrográficas de Gerenciamento de Recursos Hídricos - URHIS;População 2020;Porte de população 2020;Latitude;Longitude
353540;3535408;Panorama;691;Região Administrativa de Presidente Prudente;Região de Governo de Dracena;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;15199;Mais de 10 mil até 20 mil;-21,46;-51,86
353550;3535507;Paraguaçu Paulista;692;Região Administrativa de Marília;Região de Governo de Assis;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;44180;Mais de 20 mil até 50 mil;-22,46;-50,63
353560;3535606;Paraibuna;684;Região Administrativa de São José dos Campos;Região de Governo de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;02 - Paraíba do Sul;18230;Mais de 10 mil até 20 mil;-23,48;-45,64
353570;3535705;Paraíso;689;Região Administrativa de São José do Rio Preto;Região de Governo de Catanduva;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;6269;Mais de 5 mil até 10 mil;-21,02;-48,76
353580;3535804;Paranapanema;696;Região Administrativa de Itapeva;Região de Governo de Itapeva;Demais municípios;Demais municípios;Demais municípios;14 - Alto Paranapanema;19962;Mais de 10 mil até 20 mil;-23,44;-48,80
353590;3535903;Paranapuã;689;Região Administrativa de São José do Rio Preto;Região de Governo de Jales;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;3892;Até 5 mil;-20,06;-50,59
353600;3536000;Parapuã;692;Região Administrativa de Marília;Região de Governo de Tupã;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;10507;Mais de 10 mil até 20 mil;-21,85;-50,82
353610;3536109;Pardinho;685;Região Administrativa de Sorocaba;Região de Governo de Botucatu;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;6392;Mais de 5 mil até 10 mil;-23,10;-48,40
353620;3536208;Pariquera-Açu;682;Região Administrativa de Registro;Região de Governo de Registro;Demais municípios;Demais municípios;Demais municípios;11 - Ribeira de Iguape/Litoral Sul;19251;Mais de 10 mil até 20 mil;-24,68;-47,85
353625;3536257;Parisi;689;Região Administrativa de São José do Rio Preto;Região de Governo de Votuporanga;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;2054;Até 5 mil;-20,27;-50,04
353630;3536307;Patrocínio Paulista;695;Região Administrativa de Franca;Região de Governo de Franca;Demais municípios;Demais municípios;Demais municípios;08 - Sapucaí/Grande;14463;Mais de 10 mil até 20 mil;-20,70;-47,29
353640;3536406;Paulicéia;691;Região Administrativa de Presidente Prudente;Região de Governo de Dracena;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;7146;Mais de 5 mil até 10 mil;-21,20;-51,79
353650;3536505;Paulínia;686;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;Demais municípios;RMC;05 - Piracicaba/Capivari/Jundiaí;105037;Mais de 100 mil até 200 mil;-22,75;-47,14
353657;3536570;Paulistânia;688;Região Administrativa de Bauru;Região de Governo de Bauru;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;1769;Até 5 mil;-22,57;-49,31
353660;3536604;Paulo de Faria;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;8521;Mais de 5 mil até 10 mil;-20,07;-49,46
353670;3536703;Pederneiras;688;Região Administrativa de Bauru;Região de Governo de Bauru;Demais municípios;Demais municípios;Demais municípios;13 - Tietê/Jacaré;45570;Mais de 20 mil até 50 mil;-22,30;-48,86
353680;3536802;Pedra Bela;686;Região Administrativa de Campinas;Região de Governo de Bragança Paulista;Demais municípios;Demais municípios;MRBRAGANTINA;05 - Piracicaba/Capivari/Jundiaí;5964;Mais de 5 mil até 10 mil;-22,78;-46,44
353690;3536901;Pedranópolis;689;Região Administrativa de São José do Rio Preto;Região de Governo de Fernandópolis;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;2422;Até 5 mil;-20,21;-50,11
353700;3537008;Pedregulho;695;Região Administrativa de Franca;Região de Governo de Franca;Demais municípios;Demais municípios;Demais municípios;08 - Sapucaí/Grande;16279;Mais de 10 mil até 20 mil;-20,21;-47,44
353710;3537107;Pedreira;686;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;Demais municípios;RMC;05 - Piracicaba/Capivari/Jundiaí;46548;Mais de 20 mil até 50 mil;-22,75;-46,89
353715;3537156;Pedrinhas Paulista;692;Região Administrativa de Marília;Região de Governo de Assis;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;3010;Até 5 mil;-22,82;-50,80
353720;3537206;Pedro de Toledo;682;Região Administrativa de Registro;Região de Governo de Registro;Demais municípios;Demais municípios;Demais municípios;11 - Ribeira de Iguape/Litoral Sul;10977;Mais de 10 mil até 20 mil;-24,16;-47,16
353730;3537305;Penápolis;690;Região Administrativa de Araçatuba;Região de Governo de Araçatuba;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;60774;Mais de 50 mil até 100 mil;-21,41;-50,10
353740;3537404;Pereira Barreto;690;Região Administrativa de Araçatuba;Região de Governo de Andradina;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;25391;Mais de 20 mil até 50 mil;-20,68;-51,11
353750;3537503;Pereiras;685;Região Administrativa de Sorocaba;Região de Governo de Botucatu;Demais municípios;Demais municípios;Demais municípios;10 - Tietê/Sorocaba;8428;Mais de 5 mil até 10 mil;-23,12;-47,98
353760;3537602;Peruíbe;683;Região Administrativa de Santos;Região de Governo de Santos;Região Metropolitana da Baixada Santista;Demais municípios;RMBS;07 - Baixada Santista;66201;Mais de 50 mil até 100 mil;-24,28;-47,01
353770;3537701;Piacatu;690;Região Administrativa de Araçatuba;Região de Governo de Araçatuba;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;5891;Mais de 5 mil até 10 mil;-21,57;-50,64
